,LOCATION,TIME,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0111,A0112,Value
125,Switzerland,2009,4987.231857083333,2230.79643,2001.6584425,12313.525180416667,2583.1716541666665,7389.302201666666,5662.221913333334,1664.65734125,5849.5277325,3810.353015416667,4018.8374370833335,9414.0335025,133.0
126,Switzerland,2010,5100.197775833333,2408.5051704166667,2122.8130854166666,13175.583011249999,2665.630435416667,6787.545004583334,6125.303515416667,1666.3231741666666,5953.706998333334,3979.9874645833333,4077.9032666666667,9615.444572916667,138.0
127,Switzerland,2011,5306.758436666667,2454.161889583333,2188.1288708333336,13706.267848333335,2718.986323333333,7249.028000833333,6647.145590416666,1700.0477958333333,6048.602157916666,4184.01419625,4159.4089091666665,10096.132435833333,150.0
128,Switzerland,2012,5382.935772083333,2483.4696945833334,2323.1716504166666,14134.902455416666,2760.7437229166667,7653.948452916667,7011.25437,1728.9723591666668,6261.5200875,4320.467524583333,4169.726619166667,10440.281760833333,143.0
129,Switzerland,2013,5541.855521666667,2597.4836683333333,2329.8972108333332,14557.031142500002,2798.0083016666667,8056.391457083333,6913.73093375,1836.4685645833333,6241.671423333333,4398.7996625000005,4330.829487916667,10598.225739583333,145.0
130,Switzerland,2014,5699.17445125,2694.8549370833334,2539.5681600000003,14587.295628333333,2842.8444916666667,8820.45543125,7023.606494166666,1888.4978670833334,6188.095361666667,4096.522945,4381.417080416667,11183.951063333334,145.0
131,Switzerland,2015,5968.835126666666,2806.989829583333,2583.6714608333336,15766.933134166668,2943.667815833333,9650.7357075,7213.7042158333325,2011.1641416666669,6478.277752499999,4401.37084125,4501.6861975,12022.44869875,146.0
132,Switzerland,2016,5989.10309125,2687.43293,2571.5079341666665,15610.489224583333,2862.844978333333,9858.989121666667,6917.763165833334,2001.3758954166667,5990.81817875,4416.62426625,4575.3547499999995,12394.876507916668,141.0
133,Switzerland,2017,5763.58272125,2769.3305279166666,2064.7211741666665,15730.682000833332,2632.4260595833334,9663.204225833333,7160.709871666666,1972.58032875,5470.38123,4718.576551666666,5747.79344875,11986.191120416666,140.0
134,Switzerland,2018,5837.432230416667,2791.1293891666664,1940.7759479166668,15830.149732916667,2716.3927191666667,9808.587200833334,7354.686081666667,1993.9194129166665,5329.169369583334,4817.6586075000005,5705.958142083334,12540.706349583334,138.0
135,Switzerland,2019,6052.3077,2878.21705625,1903.7063729166666,16274.372772083334,2706.247175416667,10137.2790625,7568.63276625,1839.1610524999999,5430.2857279166665,4991.6173195833335,5914.816115833334,12405.418988333333,138.0
136,Switzerland,2020,6201.8357204761905,2995.2143457142856,1524.7716052380954,16437.362767619048,2577.6171347619047,10444.862982857143,6452.646884761904,1856.8556409523812,4616.03752047619,5210.414171904762,3934.874301428571,12329.979998095238,143.0
137,Switzerland,2021,10173.721736666666,4427.776835555556,2263.288473333333,26848.284241111112,3950.4971077777777,17748.64424888889,9664.988065555555,2872.919892222222,7299.18111,9220.800933333334,6385.2693266666665,20174.724066666666,139.0
186,Germany,1997,40032.949673333336,13864.846768,22031.69812,81788.56310777778,27451.280844444445,48042.178344444445,51506.216315666665,7831.913928777778,37137.893368000005,24969.318513777776,18596.448516,61589.19404555556,110.0
187,Germany,1998,40389.87155444445,14072.07935,21955.34266111111,83050.50637333334,28017.78058111111,48669.74648666666,52296.92828033333,8262.013978555557,38485.92719255556,25267.820402222223,18712.849574222222,62926.14621888889,111.0
188,Germany,1999,34426.065617857144,12501.053504357144,18712.582687857142,71164.92876285715,24208.408959285713,42247.86021857143,46985.330066642855,7932.5873707857145,34883.36538178571,21776.215761214287,16787.84083542857,57028.230347357145,104.0
189,Germany,2000,35224.70491678571,12566.813411071429,18785.55237428571,74385.32989285715,25295.75889,43508.25129714286,45806.69577571429,8621.350601142858,35989.74620314286,22674.95389607143,18034.70015464286,58029.66418135714,93.0
190,Germany,2001,36533.61257357143,12914.777286642857,18676.161450714288,77814.41495878572,25858.211393857142,45261.14444142857,46354.16400785714,10134.433429142857,36796.554258357144,23848.667438142857,17905.831531142856,59272.65976278571,94.0
191,Germany,2002,36077.62703928571,13268.245409642857,18713.813759285713,78387.29965707143,24558.71738535714,47002.70133,46890.42226785714,10079.87132542857,36046.52483614286,24682.798112285713,17312.466487142858,60491.923718,97.0
192,Germany,2003,30361.10191375,11235.148166708334,15480.780682916666,66396.16560458334,21408.341831458332,44391.47898458334,41559.123377083335,8246.654172916666,31072.35662725,21150.28238654167,14688.841965208332,56911.62491920833,105.0
193,Germany,2004,31926.574111875,10812.51896025,15513.837897083335,68287.2548625,21476.245557083334,44255.79224441667,43378.59186166667,8494.121337083334,31815.714308541665,21669.116992166666,15072.351222958334,57725.389750250004,108.0
194,Germany,2005,32685.915847666667,10986.836758625,15949.954595000001,71297.21819158334,21366.969117208333,45262.39151275,44324.315660625,8845.20884125,31995.62685891667,22426.868817333336,15584.340334666667,59141.26129420833,107.0
195,Germany,2006,32867.06323875,11230.276247166667,16334.665509583334,74036.100390125,22700.223669875002,46107.839745125,46361.61201041666,8926.22786125,32926.46450079166,23543.869313708332,16103.711103166666,60367.15737341667,107.0
196,Germany,2007,33735.433629583335,11183.330129333333,16839.4794625,75430.01688720833,22123.458618624998,49155.88697766667,44995.70307458334,10217.151949958334,34391.356729875,24313.876583083333,17001.955664875,62335.75848895833,111.0
197,Germany,2008,33702.58712458333,10761.370452458334,16876.52334329167,78480.54786866666,21188.919100708332,51076.31863825,45832.27202833333,10608.419211458333,35264.06119220833,24733.402589041667,17328.527600166668,62039.413839249995,114.0
198,Germany,2009,33320.22511416667,10646.722273166668,15882.18105,77732.20924916667,20681.348393833334,53189.11080095833,45698.02099083333,10688.13967975,34978.252499166665,25193.033735583333,16536.584808791667,62928.061305041665,112.0
199,Germany,2010,32923.536720833334,11292.078037541667,16246.48876375,80366.331499,22783.48682933333,56460.459402541666,44712.28303625,11097.104486416667,35300.154157916666,25886.278199291668,17332.57849058333,68003.215293,105.0
200,Germany,2011,34137.341563333335,12236.526769083333,16899.183271833335,81854.71461341667,23775.952300541667,58241.141722375,49573.76056916666,11404.823357250001,36416.72909,26300.546696458332,18174.752340333333,70514.58375183334,105.0
201,Germany,2012,35012.413095,12762.056653166668,17628.215637916666,85264.86613629166,24970.790256583336,59187.26711762499,50806.18656458333,11736.889834708332,37429.09700254167,26811.319847791663,19153.297810375,72706.84044904167,100.0
202,Germany,2013,35575.649629583335,12739.721654250001,17576.737962916664,86735.85558391667,24900.3240085,62536.27425995833,51199.28217083333,10323.304980583334,37439.11090395833,27052.124823583334,18875.929897875,75047.99609866667,105.0
203,Germany,2014,38376.46661175,12548.409767,18230.370984333334,87786.50349804167,25003.136312416667,65425.04267925,53000.855885,10842.289820625001,37509.043631291664,27914.162766458332,19787.017844208334,78615.56510883333,106.0
204,Germany,2015,40188.49478833333,13502.887432791666,17610.969611875,90068.76670562499,26640.053336208333,67586.15083829167,53668.983933,11388.761613958333,39832.681663916665,28452.109749375,19519.489933333334,82554.93087008334,98.0
205,Germany,2016,41208.86171129166,13567.833541666667,18536.21151125,92891.12693204166,26291.83238379167,70497.07632158333,52246.8443275,9467.541669875,46179.03700616667,29263.322269083335,20147.942775416665,86371.799002,96.0
206,Germany,2017,43591.96196075,13799.937934791667,19474.99654433333,94570.00447958334,26389.37195266667,71604.53340833333,53897.612462083336,9540.997855874999,47605.34004416667,30177.815888333334,20775.765499583333,87233.43884533334,97.0
207,Germany,2018,45050.56765570833,14273.628615166666,18900.209999916668,97849.02689545833,25908.046258333332,73387.95294883334,56860.3459275,9766.541271666667,49298.270644833334,31491.642464166667,22857.689090833333,88903.830691125,100.0
208,Germany,2019,46798.09246195833,14543.016262041667,18871.80002966667,100642.4851955,27028.30585125,75639.17839066667,58892.38418083333,8832.238707499999,49863.92081541667,32451.477880833332,23719.881854916664,90304.66608887499,98.0
209,Germany,2020,46793.156803,14840.166251142855,15357.680719857142,98109.75528385714,27024.511515238097,75816.00837633332,50920.53417190476,8604.575915714286,41384.39334190476,32097.411283809524,15070.280906,86861.35469128571,99.0
210,Germany,2021,67394.24941111112,20271.784931888888,22191.309978999998,139497.22967666667,39183.13872888889,110969.48861222222,73168.32968666666,12675.07713111111,60121.42962444444,48860.75126111111,21724.71626666667,125356.09145555555,101.0
213,Denmark,1997,10147.042688888889,3882.0593111111107,3875.650057777778,20365.83442,4493.753982222222,11618.678111111112,10728.626344444445,1620.184537777778,10126.195625555556,9215.250533333332,4273.951822222222,17860.216616666665,132.0
214,Denmark,1998,10310.89106,3884.5898188888887,4068.09632,21077.067467777775,4669.828223333334,12152.54871111111,10937.216266666666,1634.6947266666666,10408.800976666667,9875.533077777778,4638.684657777778,19287.645566666666,133.0
215,Denmark,1999,7134.53683,2838.4251150000005,2823.7401721428573,15099.16166,3418.5594628571425,9223.006535714285,7756.120642857143,1276.6774614285714,7783.351262142857,6980.359378571428,3338.8347178571426,13898.46892,128.0
216,Denmark,2000,7338.672102857143,2914.4350064285713,2870.493712857143,15833.52121857143,3479.6392542857143,9623.391207142859,7515.186357142857,1351.5074307142856,8131.103732857143,7082.229221428572,3474.0614192857142,15119.341110714286,115.0
217,Denmark,2001,7617.304110714285,2964.4201785714286,2930.7536057142856,16633.306319285715,3559.805365,10211.267735714286,7230.394664285714,1382.923945,8408.819353571429,7417.675092857143,3358.4987,15608.527742857143,118.0
